ACSS | ACSS - ADMINISTRAȃO CENTRAL DO SISTEMA DE SAۄE I.P.
ASAE | ASAE
CEGER | CEGER
CHALTOMINHO | CENTRO HOSPITALAR DO ALTO MINHO EPE
CMBRAGANCA | CAMARA MUNICIPAL BRAGANCA
CML | CML
CMLAGOS | CAMARA MUNICIPAL DE LAGOS
DGITA | MF-DIR.GER.INF.APOIO S.TRIBUTARIOS ADUANEIROS 
EMEL | EMEL-EMPRESA MUNICIPAL DE ESTACIONAMENTO DE LISBOA, E.M.
FCCN | FUND.COMPU.CIENT NACIONAL-FCCN
HNSROSARIO | HOSPITAL DE NOSSA SENHORA DO ROSARIO EPE
HTROFA | HOSPITAL DA TROFA SA
IDP | INSTITUTO NACIONAL DO DESPORTO
IIESS | IIES-INST.INFORMICA ESTATΓTICA SOLIDARIEDADE
INCMOEDA | IMPRENSA NACIONAL CASA MOEDA* 
INEM | INSTITUTO NACIONAL EMERGENCIA MEDICA
ITIJ | INSTITUTO TECNOLOGIAS E INFORMAȃO DA JUSTIȁ
DGAE | MJ DIRECȃO GERAL ADMINISTRAȃO EXTRAJUDICIAL
DGRS | MJ DIRECȃO GERAL DE REINSERȃO SOCIAL
DGSP | D.G.S.P. DIRECȃO-GERAL DOS SERVIȏS PRISIONAIS
INML | INSTITUTO NACIONAL MEDICINA LEGAL
IRN | INSTITUTO DOS REGISTOS E NOTARIADO
PJ | MJ-POLICIA JUDICIARIA-DIR.GERAL
IFAP | IFAP-IFAP - REDE CIRCUITOS MULTINET (SG)
IGESPAR | "IPPAR-INSTITUTO PORT.PATRIMONIO ARQUITECTONICO; INSTITUTO PORTUGUES DE ARQUEOLOGIA "
MAOTDR | "MAOTDR - FDR - OBSERVATORIO QREN III; IGP-PROJECTO MARʇRAFOS"
MNE | MNE-MIN.NEGOCIOS ESTRANGEIROS
PSP | MAI-PSP-COMANDO GERAL 
IGAOT | IGA-INSPECȃO GERAL AMBIENTE
IMETEOROLOGIA | INSTITUTO DE METEOROLOGIA
API | "ICEP-INVEST.COM.TURISMO PORTUGAL;  AGˎCIA PORTUGUESA INVESTIMENTO EPE"
IAPMEI | REDE ADSL BIT STREAM
ME | ME-MINISTERIO EDUCACAO 
IGCP | INSTITUTO DE GESTAO DO CREDITO PUBLICO
SSAP | MF SERVIȏS SOCIAIS ADMINISTRAȃO PUBLICA
FORMAR | FORPESCAS
IPTM | MOPTH*IPTM*INSTITUTO PORTUIO*TRANSPORTES MARITIMOS 
EP | IEP-INSTITUTO*ESTRADAS*PORTUGAL
IGFSE | IGFSE
PORTALEGREDD | ASSOCIAȃO PORTALEGRE DISTRITO DIGITAL
SMASALMADA | SERV.MUNICIP.AGUA SANEAMENTO ALMADA
UNL | UNIVERSIDADE NOVA LISBOA-REITORIA
UNIVABERTA | UNIVERSIDADE ABERTA
BANCO BIC | BANCO BIC PORTUGUES SA
BINVEST | BANCO INVEST SA
COSEC | COSEC, SA
GRUPO AXA | EQUANT-AXA
BANIF | BANIF*
BANIF-INVEST | BANIF-BANCO DE INVESTIMENTO SA
CSACOREANA | COMPANHIA SEGUROS A?OREANA*
ESPIRITO SANTO SAUDE | ESPIRITO SANTO SAۄE* OR DMI*DIAGNԓTICO MʄICO INTEGRAL* OR CLIRIA-HOSPITAL PRIVADO*AVEIRO* OR HOSPITAL*MISERICORDIA*ʖORA 
OPWAY | OPWAY ENGENHARIA SA
QUEIJO SALOIO | QUEIJO SALOIO-INDUST LACTICINIOS* 
ES CALL CENTERS | ES CONTACT CENTER - GESTď DE CALL CENTERS, S.A.
TRANQ | *TRANQUILIDADE* 
CCAMA | CAIXA CREDITO AGRICOLA MUTUO ACORES 
ACALENTEJO | AGUAS DO CENTRO ALENTEJO S A
AENOR | LUSOSCUT COSTA PRATA* OR LUSOSCUT AUTO ESTRADAS DAS BEIRAS LITORAL E ALTA* OR OPERADORA LUSOSCUT BLA-OP.MAN.AUTO-ESTRADAS* OR OPERANOR-OPER.MANUT.AUTO-ESTRADAS* 
ARIBATEJO | 
AUCHAN | COMPANHIA PORTUGUESA HIPERMERCADOS
CAIXABI | CAIXA - BANCO DE INVESTIMENTO S.A.
FCCB | FUNDAȃO DO CENTRO CULTURAL DE BELʍ
GALILEO;GALILEO PORTUGAL, LTD;
GALP | GALP ENOVA-TECNOLOGIAS*
GCT | GCT -DISTRIBUIȃO ALIMENTAR* 
LOGICA | LOGICA TI PORTUGAL, SA
REPSOL | SHELL PORTUGUESA*
LFP | LOJAS FRANCAS PORTUGAL, SA
SAPA | SAPA PORTUGAL EXTRUSAO DISTRIBUICAO ALUMINIO, SA
SBSI | SINDICATO BANCARIOS SUL ILHAS
SCML | SANTA CASA MISERIC LISBOA - PORTAL JOGOS
SCMP | SANTA CASA DA MISERICԒDIA DO PORTO
SHELL | SHELL PORTUGAL B2B, SA
NSN;GRUPO SIEMENS;
TELEPOST | TELEPOST-SERVIȏS DE CORREIO ELECTONICO POSTAL SA
TAP | TAP-TRANSP.AEREOS PORTUGUESES
ABN | ABN AMRO BANK, N.V.
ABRANTINA;ABRANTINA;
ACCENTURE | ACCENTURE CONSULTORES GESTď SA
ACENTRO | UAS DO CENTRO S.A
ADECCO | ADECCO-RECURSOS HUMANOS, LDA
ADMITUR | ADMITUR ADMINISTRAȃO APARTAMENTOS TURISTICOS LDA
AGROS | AGROS-UCPLEDMTM, UCRL
AGUASVIMEIRO | EMPRESA AGUAS VIMEIRO LDA
AIRCNET | ASSOCIACAO INFORMATICA DA REGIAO CENTRO
ALLIANCE;ALL UNICHEM;
ALLIANZ | COMPANHIA DE SEGUROS ALLIANZ PORTUGAL, SA
AMADEUS | TELEFONICA WHOLESALE (AMADEUS) SA
AML | AGUAS DO MINHO E LIMA SA
AMORIM | AMORIM-SERVICOS GESTAO, SA
ARA;ARA;"ARA PORTUGUESA FRICA DE CALȁDO LDA; GRANIT SCHUH PORTUGUESA FABRICA DE CALȁDO LDA"
ASANTO | A SANTO EMPREENDIMENTOS INDUSTRIAIS E TURISTICOS SA
ATEC | ATEC-ACADEMIA DE FORMAȃO
ATMAD | UAS DE TR-OS-MONTES E ALTO DOURO SA
AUTOZITANIA | AUTOZITÎIA - ACESSORIOS E SOBRESSALENTES, LDA
AUTOJARDIM;AUTO JARDIM ALGARVE;AUTO JARDIM ALGARVE-AUTOMOVEIS ALUGUER, SA
AVIBOM | AVIBOM AVICOLA* 
AVILUDO | AVILUDO-IND.C.P.ALIMENTARES, SA
AVIPRONTO | AVIPRONTO PRODUTOS ALIMENTARES SA
BARBOT;BARBOT;BARBOT - IND. TINTAS, SA
BARCLAYS | 
BARRAQUEIRO | BARRAQUEIRO TRANSPORTES, SA
BASTOSVIEGAS | BASTOS VIEGAS, S.A.
BAVIDRO | BA VIDRO SA
BBAI | BANCO BAI EUROPA, SA.
BEIRARIO | BEIRA RIO-COM.& IND.AUTOMOVEIS, LDA
BETECNA;BETECNA;"BETECNA-BETAO PRONTO, LDA; SOC.B.CALC.CARAPINHA ALENQUER, LDA"
BIG | BANCO DE INVESTIMENTO GLOBAL* 
BOEHRINGER | BOEHRINGER INGELHEIM LDA
CABELTE | CABELTE CABOS ELʃTRICOS TELEFԎICOS
CAP | CAP-CONFEDERACAO AGRICULTORES PORTUGAL
CARCLASSE | CARCLASSE COMERCIO AUTOMOVEIS SA
CARRIER | CARRIER PORTUGAL AR CONDICIONADO LDA
CCCURBANOS | CCC TRANSPORTES URBANOS LDA
CCDRN | COMISSď COORD. DESENV. REGIONAL NORTE
CELBI | "CELULOSE BEIRA INDUSTRIAL (CELBI) SA; CAIMA - INDۓTRIA DE CELULOSE S.A."
CENFIM | CENFIM-CENT.FORM.PROF.IND.METALURGICA
CEPSA | CEPSA PORTUGUESA PETROLEOS SA
CETELEM;CETELEM;BANCO CETELEM S.A.
CHARLES | CHRISTIAN-SAPATARIAS, SA
CHRONOPOST | CHRONOPOST PORTUGAL - TRANSPORTE EXPRESSO INTERNACIONAL S.A.
CICLORAMA;VISABEIRA;"PTC - PROJECTOS DE TELECOMUNICAȕES, AS; CICLORAMA-ESTUDOS,PROJECTOS E PRODUCOES, LDA"
CIN;CIN;CIN CORPORAȁO INDUSTRIAL NORTE SA
CINCA | CINCA-COMP.INDUSTRIAL CERAMICA, SA
CITROEN | AUTOMOVEIS CITROEN, SA
CLAMPADAS | CASA LAMPADAS
CMSINTRA | CAMARA MUNICIPAL SINTRA
CODIFAR;UDIFAR;CODIFAR
COFANOR | COFANOR COOP.FARMACEUTICOS NORTE, CRL
CONFAGRI | CONFAGRI CONFEDERACAO NACIONAL DAS COOPERATIVAS AGRICOLAS DE PORTUGAL CCRL
COOPLECNORTE;LECLERC;COOPLECNORTE
CORDEX | CORDEX, SA
COSMOS | COSMOS-VIAGENS TURISMO, SA
COTESI | COTESI-COMPANHIA TEXTEIS SINTETICOS, SA
CREDIIC | CREDIIC-INFORMAȃO E GESTď CRʄITOS, LDA
CRH | CRH CONSULTORIA VALORIZAȃO RECURSOS HUMANOS LDA
CSANJOSE | CONSTRUCTORA SAN JOSɠSA
CTAMEGA | CONSTRUTORA TAMEGA, SA
DANONE | DANONE PORTUGAL SA
DCB | DCB-COMPONENTES E CALȁDO* OR ILPE IBERICA-POLIURETANOS* OR GLOVAR INDUSTRIA CALCADO*
DDB | DDB-LISBOA PUBLICIDADE LDA
DECATHLON | SPDAD-SOC.PORT.PROD.DIST.ART.DESP.LD
DIA | DIA PORTUGAL-SUPERMERCADOS, SA
DILOP;DILOP;"DILOP-PRODUTOS ALIMENTARES, AS; SAPROPOR PRODUTOS ALIMENTARES AS"
DLS;FORNORDE;"FORNORDE-IMPORTAȃO EXPORTAȃO, LDA; DESICOR-INDUSTRIA MADEIRAS CORTICAS, LDA; DEBORLA COMʒCIO GERAL LDA; DLS - PROJECTOS, AUTOMAȃO E MANUTENȃO, LDʢ
DOCAPESCA | DOCAPESCA-PORTOS LOTAS, SA
DYRUP | TINTAS DYRUP, SA
EASYQUICK | EASY QUICK - GESTď DE SISTEMAS DE PAGAMENTOS SA
ECHIRON | "E-CHIRON GESTAO DE APLICACOES DE SOFTWARE SA; A.M.PEREIRA, S.LEAL, O.MARTINS, JۄICE ASSOCIADOS"
